Open,High,Low,Close,Volume
25280,25420,25020,25220,9430600
25100,25220,24620,24700,17105400
24900,24940,24700,24940,8407650
24620,24620,24420,24560,11577200
24700,24700,24420,24440,10719450
24460,24740,24440,24600,12171000
25160,25160,24720,24840,10311850
24760,24760,24560,24680,14558250
24720,24740,24480,24520,5664050
24420,24500,23880,23880,15899600
24000,24000,23600,23780,21238750
24200,24320,24040,24200,12099950
24300,24320,23900,24020,10770400
24000,24140,23840,23840,23309200
24000,24160,24000,24020,10872350
24140,24160,23920,24000,7161500
24160,24300,24020,24120,7092400
24140,24520,24140,24520,7545750
24600,24600,24080,24200,9476750
24460,24460,24120,24200,13435050
24080,24080,23600,23760,16022100
23560,23700,23220,23220,19541400
23040,23220,22820,23000,15789200
23240,23320,22940,23120,19414500
23040,23700,22960,23700,12413550
23860,24000,23400,23900,9401000
23700,23760,23300,23680,12379300
23480,23660,23120,23120,11929800
23300,23300,22820,22820,12732750
22900,23120,22760,23020,21252900
23240,23720,23240,23240,10149150
22840,23020,22480,22600,14720550
22000,22280,21980,22100,21837450
21640,22540,21560,22160,11344750
22540,22920,22400,22540,16572550
22560,22900,22400,22500,14143600
22320,22420,22080,22300,15148300
22120,22300,21740,21780,16281750
22300,22340,22020,22120,9476750
21880,22000,21620,21660,11766050
21940,22080,21800,22080,11127700
22260,22260,21800,21880,8505900
22060,22240,21840,22240,8378450
22020,22220,21740,21900,8388600
21800,22000,21720,21820,6243850
22000,22600,21800,22600,13726100
22580,23660,22300,23620,24566950
23960,25000,23700,24880,38623150
25000,25040,24320,24700,13475800
24380,24840,24100,24340,13000300
24300,24500,23880,24040,10162150
23960,24200,23860,24080,8570150
24360,24360,23900,24120,6030200
24520,25380,24440,25360,19202900
25100,25220,24540,24620,12141400
24620,24680,24380,24600,9079600
24560,24640,23980,24000,11547150
24020,24020,23600,23880,10621750
23800,24400,23640,24100,9693950
24400,24540,24300,24400,10754700
24760,24760,24240,24360,12502750
24120,24400,24120,24200,10024150
24380,24520,24340,24460,12336350
24940,24960,24200,24400,10284300
24480,24480,23800,23800,17811050
23800,24220,23640,24020,12287900
25460,26020,25280,25280,44377800
25900,25920,25480,25740,9844550
25880,25960,25740,25900,12866850
25900,25900,25320,25900,9222700
26000,26020,25900,25960,9735500
26040,26060,25960,26000,8871350
26280,26280,26000,26040,5637800
26060,26420,26040,26380,7916550
26380,27140,26380,26980,13553100
26920,26920,26340,26340,15977800
26340,26380,25880,26100,20490850
26060,26080,25480,25720,14397250
25600,25600,25200,25460,14337950
25400,25780,25360,25580,12894750
25580,25660,25060,25320,13088650
25320,25580,25040,25320,11808250
25880,26560,25740,26560,18356500
26900,26940,26360,26900,17943850
26920,26980,26740,26780,10976350
26780,26860,26780,26860,6257000
26860,27100,26860,27040,11488100
26900,26940,26580,26580,9637450
26600,26700,26420,26540,10649100
26800,26800,26540,26600,8774950
26720,26720,26260,26660,10139500
26300,26340,25760,25900,15235500
25880,26220,25640,26140,14322750
26780,26780,26200,26280,14477600
26280,26440,26280,26280,9312400
26260,26380,26020,26320,8325400
26280,26800,26000,26780,12293400
26780,27100,26700,26900,14332250
26900,26980,26580,26680,14103900
26680,26680,26260,26320,13568500
26580,26980,26400,26860,6672950
27000,27440,26900,27440,13278050
27340,27900,27200,27900,16612650
27960,27980,27560,27560,17957700
28000,28000,27540,27720,12858750
27500,27900,27280,27780,10153500
27500,28000,27480,28000,9957200
27720,27800,27480,27560,10831500
27360,27900,27140,27200,13702250
27200,27540,27200,27300,16110000
27300,27540,27120,27360,10521000
27600,27600,27180,27320,5654400
27500,27620,27180,27180,9328900
27180,27380,26920,27160,6770400
26920,27480,26720,27440,8005050
27200,27980,27140,27900,8693500
28000,28000,27540,27560,6519350
27480,27480,27080,27100,9973800
26800,27160,26620,26880,10748200
27200,27220,26900,27220,6522900
27360,27480,27220,27480,6226500
27480,27540,27280,27540,5745000
27560,27800,27320,27340,15301800
27700,27780,27280,27340,10863250
27600,27700,27460,27580,8374250
27580,27600,27360,27500,8179150
27500,27520,27140,27140,13009400
27500,28460,27340,28460,21805600
28700,28740,28120,28360,13748800
28220,28800,28200,28740,11603100
28780,28860,28340,28440,9615600
28280,28980,28120,28840,11733500
28800,28800,28400,28400,7814600
28680,28860,28400,28420,10419850
28380,29580,28360,29480,21108650
29200,29460,28940,28940,19153200
29220,29580,29100,29140,9413100
29160,29740,29100,29400,8974550
29400,30000,29200,29940,13661150
29920,30120,29720,30060,12464350
30200,30200,29400,29400,13225800
29500,29600,29200,29280,12704950
29240,29480,29160,29340,8122900
29100,29560,29100,29520,9113150
29740,29760,29440,29700,9369050
29000,29120,28420,28420,21005950
28300,28960,28300,28420,16065800
28500,28680,28240,28560,8955500
28980,29040,28600,28820,9842650
28740,28740,28400,28460,7266050
28680,28800,28460,28680,6903400
28680,28800,28400,28680,6270150
28860,29800,28700,29400,10582600
29560,29700,29240,29240,9526050
29400,29700,29200,29580,7773400
29400,29780,29400,29660,9107550
29600,29880,29560,29800,9960100
29580,29820,29360,29580,10293300
29700,29700,29300,29480,9429750
29200,29400,28540,28920,13551050
29240,29540,28940,29540,10762350
29540,29560,28940,29000,10172300
28920,28960,28460,28600,12394900
28420,28900,28400,28880,11852650
28880,29460,28720,29220,12655550
29400,29400,28800,29020,9245150
28980,29100,28000,28200,19089900
28200,28220,27500,27900,16517150
27800,28000,27180,27320,15697300
27340,27880,27280,27700,10895650
27700,28360,27580,28200,18352850
28140,28460,27940,28000,8283700
27800,27820,27120,27240,13270500
27240,27500,27080,27400,10257400
27320,27400,26760,26760,9488100
27200,27200,26720,26720,9640450
26900,27060,26480,26620,10633200
26980,26980,26520,26660,9877250
26820,26860,26560,26800,8488500
27100,27120,26420,26520,8922350
26700,26700,26180,26400,9626850
